mid;status;title;url
M112189702;ok;File:Carl Fabian Emanuel Björling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112189702
M112189757;ok;File:Carl Fabian Emanuel Björling SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112189757
M112194341;ok;File:Carl Ekman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112194341
M112194472;ok;File:Carl Ekman SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112194472
M112194474;ok;File:Carl Ekman SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112194474
M112194485;ok;File:Carl Ekman SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112194485
M112196265;ok;File:Baptista Schreiber-Detlef-Mijares SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112196265
M112196303;ok;File:Baptista Mijares-Schreiber SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112196303
M112207185;ok;File:Bengt Bengtsson SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207185
M112207229;ok;File:Bengt Bengtsson SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207229
M112207251;ok;File:Bengt Bengtsson SPA5.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207251
M112207278;ok;File:Bengt Bengtsson SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207278
M112207895;ok;File:Bernhard Gärde SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207895
M112207907;ok;File:Bernhard Gärde SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207907
M112212150;ok;File:Axel Ros SPA5.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212150
M112212873;ok;File:Carl Roos SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212873
M112212975;ok;File:Carl Roos SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212975
M112212995;ok;File:Carl Roos SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212995
M112213015;ok;File:Carl Roos SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112213015
M112213117;ok;File:Carl Roos SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112213117
M112215280;ok;File:Birger Ekeberg SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215280
M112215310;ok;File:Birger Ekeberg SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215310
M112215358;ok;File:Birger Ekeberg SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215358
M112215393;ok;File:Birger Ekeberg SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215393
M112058525;ok;File:Christian Fahlcrantz SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112058525
M112058536;ok;File:Christian Fahlcrantz SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112058536
M112059632;ok;File:Carl Tersmeden SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112059632
M112064115;ok;File:Elias Arne Fries SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112064115
M112079269;ok;File:Gustaf Bonde-af-Björnö SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112079269
M112079588;ok;File:Gustaf Trolle-Bonde SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112079588
M112079690;ok;File:Gustaf Trolle-Bonde SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112079690
M112079728;ok;File:Gustaf Trolle-Bonde SPA11.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112079728
M112081191;ok;File:Eva Bonnier SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112081191
M112082830;ok;File:Christian Virgin SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112082830
M112083028;ok;File:Christian Virgin SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112083028
M112091999;ok;File:Felix Bryk SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112091999
M112092041;ok;File:Felix Bryk SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112092041
M112093088;ok;File:Christina Nilsson SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093088
