item1_label,item1_id,item1_api,item1_image,item2_label,item2_id,item2_api,item2_image,distance
Betty Deland,sj9PGLAlnmUAAAAAABKEYA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYA,Betty Deland,sj9PGLAlnmUAAAAAAB2alw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2alw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2alw,0
Betty Deland,sj9PGLAlnmUAAAAAABKEYg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYg,Betty Deland,sj9PGLAlnmUAAAAAAA8KAA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAA,1
Betty Deland,sj9PGLAlnmUAAAAAABKEYg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYg,Betty Deland,sj9PGLAlnmUAAAAAAB2aLA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2aLA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2aLA,1
Betty Deland,sj9PGLAlnmUAAAAAABKEYQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYQ,Betty Deland,sj9PGLAlnmUAAAAAAA8J_w,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_w,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_w,0
Betty Deland,sj9PGLAlnmUAAAAAABKEYQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYQ,Betty Deland,sj9PGLAlnmUAAAAAAB2dAQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2dAQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2dAQ,0
Betty Deland,sj9PGLAlnmUAAAAAABKEYw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEYw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEYw,Betty Deland,sj9PGLAlnmUAAAAAAA8KAQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAQ,1
Betty Deland,sj9PGLAlnmUAAAAAABKEZA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZA,Betty Deland,sj9PGLAlnmUAAAAAAA8KAg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAg,0
Betty Deland,sj9PGLAlnmUAAAAAABKEZA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZA,Betty Deland,sj9PGLAlnmUAAAAAAB2d9g,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2d9g,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2d9g,0
Betty Deland,sj9PGLAlnmUAAAAAABKEZg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZg,Betty Deland,sj9PGLAlnmUAAAAAAA8KBA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KBA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KBA,1
Betty Deland,sj9PGLAlnmUAAAAAABKEZg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZg,Betty Deland,sj9PGLAlnmUAAAAAAB2bfg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2bfg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2bfg,1
