qid,label,id,birth,old_url,status,final_url,soft404,slug,changed
Q89546,Joseph von Hammer-Purgstall,1239,1774-06-09T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1239.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1239.html,True,1239.html,False
Q92465,Hans Seger,1327,1864-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1327.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1327.html,True,1327.html,False
Q107815,Bernhard Bischoff,983,1906-12-20T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/983.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/983.html,True,983.html,False
Q121409,Frédéric Soret,1278,1795-05-12T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1278.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1278.html,True,1278.html,False
Q152308,Drottning Silvia,1386,1943-12-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1386.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1386.html,True,1386.html,False
Q156390,Kronprinsessan Victoria,1387,1977-07-14T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1387.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1387.html,True,1387.html,False
Q168896,Władysław Konopczyński,864,1880-11-26T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/864.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/864.html,True,864.html,False
Q220130,William Flinders Petrie,860,1853-06-03T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/860.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/860.html,True,860.html,False
Q254524,Józef Ignacy Kraszewski,1298,1812-07-28T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1298.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1298.html,True,1298.html,False
Q301586,Aarno Maliniemi,933,1892-05-09T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/933.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/933.html,True,933.html,False
Q451416,Giovanni Capellini,1294,1833-08-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1294.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1294.html,True,1294.html,False
Q502983,Michael Rostovtzeff,865,1870-11-10T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/865.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/865.html,True,865.html,False
Q535764,Isak Collijn,535,1875-07-17T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/535.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/535.html,True,535.html,False
Q571710,Francis Bull,896,1887-10-04T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/896.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/896.html,True,896.html,False
Q678541,Bruno Migliorini,937,1896-11-19T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/937.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/937.html,True,937.html,False
Q879688,Björn M. Ólsen,1339,1850-07-14T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1339.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1339.html,True,1339.html,False
Q1345868,Oluf Rygh,489,1833-09-05T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/489.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/489.html,True,489.html,False
Q1378509,Haakon Shetelig,881,1877-06-25T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/881.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/881.html,True,881.html,False
Q1387221,Henry Christy,1288,1810-07-26T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1288.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1288.html,True,1288.html,False
Q1389266,Alexandros Rizos Rangavis,1282,1809-12-27T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1282.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1282.html,True,1282.html,False
Q1397114,Rudolf Keyser,1021,1803-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1021.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1021.html,True,1021.html,False
Q1491858,Ted Strehlow,1377,1908-06-06T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1377.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1377.html,True,1377.html,False
Q1506289,Georg von Munthe af Morgenstierne,869,1892-01-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/869.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/869.html,True,869.html,False
Q1750483,John Yonge Akerman,1279,1806-06-12T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1279.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1279.html,True,1279.html,False
Q1776740,Alexander Bugge,1342,1870-12-30T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1342.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1342.html,True,1342.html,False
Q1803048,Henning Frederik Feilberg,1336,1831-08-06T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1336.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1336.html,True,1336.html,False
Q1899007,Mario Roques,925,1875-07-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/925.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/925.html,True,925.html,False
Q1966182,Hans Peter L'Orange,936,1903-03-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/936.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/936.html,True,936.html,False
Q2005797,William A. Craigie,920,1867-08-13T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/920.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/920.html,True,920.html,False
Q2021110,Olof August Danielsson,513,1852-10-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/513.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/513.html,True,513.html,False
Q2158388,Robert Nisbet Bain,1334,1854-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1334.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1334.html,True,1334.html,False
Q2600492,Yngve Brilioth,598,1891-07-12T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/598.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/598.html,True,598.html,False
