,WikidataID,authorid,full_name,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
4213,,HultinJ,Julius Hultin,,HultinJ,True,2024-12-02,2024-12-02,,Litterturbanken_only
4226,,WeidarA,Anders Weidar,,WeidarA,True,2024-12-02,2024-10-28,sq47gngb38gms11,Litterturbanken_only
4238,,FriedL,Leon Fried,,FriedL,True,2024-12-02,2024-09-23,,Litterturbanken_only
4227,,GourgaudG,Gaspard Gourgaud,,GourgaudG,True,2024-12-02,2024-10-28,,Litterturbanken_only
4624,,LönnbergM,Mathilda Lönnberg,,LonnbergM,True,2024-12-02,2021-03-01,,Litterturbanken_only
4540,,StrömbergT,Theodor Strömberg,,StrombergT,True,2024-12-02,2021-04-06,,Litterturbanken_only
4422,,GranbergR,Robert Granberg,,GranbergR,True,2024-12-02,2023-02-27,,Litterturbanken_only
4751,,SSK,Strindbergssällskapet,Q10681854,SSK,True,2024-12-02,2014-05-05,,Litterturbanken_only
4744,,SFS,Svenska fornskriftsällskapet,Q10685340,SFS,True,2024-12-02,2016-09-07,,Litterturbanken_only
4742,,BornemanGHvon,Georg Henrik von Borneman,Q5582776,BornemanGHvon,True,2024-12-02,2016-11-16,1zcfhsdk289zw81,Litterturbanken_only
4737,,LundbergS,Samuel Paulson Lundberg,,LundbergS,True,2024-12-02,2017-03-01,,Litterturbanken_only
4361,,AxbergerG,Gunnar Axberger,,AxbergerG,True,2024-12-02,2023-06-26,,Litterturbanken_only
4267,,HirnM,Marta Hirn,,HirnM,True,2024-12-02,2024-06-24,,Litterturbanken_only
4348,,PetersonCF,Carl Fredrik Peterson,,PetersonCF,True,2024-12-02,2023-08-28,,Litterturbanken_only
4285,,HessliusA,Andreas Hesslius,,HessliusA,True,2024-12-02,2024-01-29,,Litterturbanken_only
4278,,QuennerstedtAxel,Axel Quennerstedt,,QuennerstedtAxel,True,2024-12-02,2024-01-29,zw9dkmph1p54ssk,Litterturbanken_only
4205,,WesselJH,Johan Herman Wessel,,WesselJH,True,2024-12-02,2024-12-02,,Litterturbanken_only
4204,,LundellH,Hilda Lundell,,LundellH,True,2024-12-02,2024-12-02,,Litterturbanken_only
4207,,HammarstedtNE,Nils Edvard Hammarstedt,,HammarstedtNE,True,2024-12-02,2024-12-02,,Litterturbanken_only
4212,,WelanderPO,Per Olof Welander,,WelanderPO,True,2024-12-02,2024-12-02,,Litterturbanken_only
4206,,WalterstorffE,Emelie von Walterstorff,,WalterstorffE,True,2024-12-02,2024-12-02,g0f42z9pdv6j2gkk,Litterturbanken_only
4210,,BergqvistOl,Olof Bergqvist,,BergqvistOl,True,2024-12-02,2024-12-02,,Litterturbanken_only
4209,,TaubeA,Adolf Taube,,TaubeA,True,2024-12-02,2024-12-02,,Litterturbanken_only
4208,,VestermarkA,Alfred Vestermark,,VestermarkA,True,2024-12-02,2024-12-02,,Litterturbanken_only
4211,,LindqvistHAF,Herman Axel Fritiof Lindqvist,,LindqvistHAF,True,2024-12-02,2024-12-02,,Litterturbanken_only
4231,,LundbladCH,Carl Henrik Lundblad,,LundbladCH,True,2024-10-28,2024-10-28,,Litterturbanken_only
4230,,LaFermièreFH,Franz Hermann La Fermière,,LaFermiereFH,True,2024-10-28,2024-10-28,,Litterturbanken_only
4229,,ThelinA,Arvid Thelin,,ThelinA,True,2024-10-28,2024-10-28,,Litterturbanken_only
4228,,RobertinHA,H. A. Robertin,,RobertinHA,True,2024-10-28,2024-10-28,,Litterturbanken_only
4235,,HyckertG,Gustaf Hyckert,,HyckertG,True,2024-10-28,2024-10-28,,Litterturbanken_only
4232,,BrobergCJ,Carl Johan Broberg,,BrobergCJ,True,2024-10-28,2024-10-28,,Litterturbanken_only
4746,,KVHAA,Kungl. Vitterhets Historie och Antikvitets Akademien,Q1792159,KVHAA,True,2024-10-28,2015-08-27,,Litterturbanken_only
4233,,LöfvingI,Isidor Löfving,,LofvingI,True,2024-10-28,2024-10-28,,Litterturbanken_only
4234,,ElmlundA,A. Elmlund,,ElmlundA,True,2024-10-28,2024-10-28,,Litterturbanken_only
4758,,DulciU,Utile Dulci,Q10711493,DulciU,True,2024-10-28,2010-10-19,,Litterturbanken_only
4236,,KBBA,Kungliga biblioteket. Bibliografiska avdelningen,,KBBA,True,2024-10-28,2024-10-28,,Litterturbanken_only
4240,,LangletA,Alex Langlet,,LangletA,True,2024-09-23,2024-09-23,,Litterturbanken_only
4241,,FockA,Adolf Fock,,FockA,True,2024-09-23,2024-09-23,,Litterturbanken_only
4239,,LindenE,Erik Linden,,LindenE,True,2024-09-23,2024-09-23,,Litterturbanken_only
4237,,CleeveG,G. Cleeve,,CleeveG,True,2024-09-23,2024-09-23,,Litterturbanken_only
4253,,FeekEL,Edward L. Feek,,FeekEL,True,2024-08-26,2024-08-26,,Litterturbanken_only
4251,,LefèvreL,Louis Lefèvre,,LefevreL,True,2024-08-26,2024-08-26,,Litterturbanken_only
4243,,OlanderJohn,John Olander,,OlanderJohn,True,2024-08-26,2024-08-26,,Litterturbanken_only
4249,,BellanderCF,C. F. Bellander,,BellanderCF,True,2024-08-26,2024-08-26,,Litterturbanken_only
4745,,SSHS,Skara stiftshistoriska sällskap,,SSHS,True,2024-08-26,2016-03-17,,Litterturbanken_only
4248,,WikströmD,Daniel Wikström,,WikstromD,True,2024-08-26,2024-08-26,,Litterturbanken_only
4242,,ÖrnJ,Johannes Örn,,OrnJ,True,2024-08-26,2024-08-26,,Litterturbanken_only
4245,,LundahlJ,Johan Lundahl,,LundahlJ,True,2024-08-26,2024-08-26,,Litterturbanken_only
4246,,ÅbergAW,A. W. Åberg,,AbergAW,True,2024-08-26,2024-08-26,nl0365l61w8ljhv,Litterturbanken_only
4244,,OhlssonO,Ola Ohlsson,,OhlssonO,True,2024-08-26,2024-08-26,,Litterturbanken_only
4254,,WittrockCSC,Christina Sofia Charlotta Wittrock,,WittrockCSC,True,2024-08-26,2024-08-26,,Litterturbanken_only
4252,,ReichA,Adolf Reich,,ReichA,True,2024-08-26,2024-08-26,,Litterturbanken_only
4258,,OlssonE,Em. Olsson,,OlssonE,True,2024-08-26,2024-08-26,,Litterturbanken_only
4256,,LöfgrenK,K. Löfgren,,LofgrenK,True,2024-08-26,2024-08-26,,Litterturbanken_only
4255,,SvärdCJ,Carl Joseph Svärd,,SvardCJ,True,2024-08-26,2024-08-26,,Litterturbanken_only
4259,,LundbergH,Hans Lundberg,,LundbergH,True,2024-08-26,2024-08-26,,Litterturbanken_only
