"mid","status","title","url"
"M111571386","ok","File:Agnes Arvidson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111571386"
"M111571510","ok","File:Agnes Arvidson SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111571510"
"M111571610","ok","File:Agnes Arvidson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111571610"
"M111571831","ok","File:Agnes Jacobsson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111571831"
"M111601877","ok","File:Agne Sandberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111601877"
"M111601953","ok","File:Agne Sandberg SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111601953"
"M111602044","ok","File:Agne Sandberg SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111602044"
"M111602061","ok","File:Agne Sandberg SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111602061"
"M111602071","ok","File:Agne Sandberg SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111602071"
"M111602078","ok","File:Agne Sandberg SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111602078"
"M111602087","ok","File:Agne Sandberg SPA10.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111602087"
"M111602302","ok","File:Aina Eriksson-Enckell SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111602302"
"M111632150","ok","File:Adolf Kolmodin SPA7.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111632150"
"M111793423","ok","File:Akke Kumlien SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111793423"
"M111811480","ok","File:Adolf Tersmeden SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111811480"
"M111811509","ok","File:Adolf Tersmeden SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111811509"
"M111811535","ok","File:Adolf Tersmeden SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111811535"
"M111848136","ok","File:Agnes Ström SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111848136"
"M110569204","ok","File:Aksel Andersson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110569204"
"M110569242","ok","File:Aksel Andersson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110569242"
"M110630399","ok","File:Albert Ranft SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110630399"
