url,name,birth
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ljungstrom-claes-johan.html,"Ljungström, Claës Johan",1819-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/vennberg-erik-linus.html,"Vennberg, Erik Linus",1886-11-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/klemming-gustaf-edvard.html,"Klemming, Gustaf Edvard",1823-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/platbarzdis-aleksandrs.html,"Platbarzdis, Aleksandrs",1899-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tornberg-carl-johan.html,"Tornberg, Carl Johan",1807-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hogberg-folke.html,"Högberg, Folke",1884-03-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-kohler-heinrich-carl-ernst.html,von Köhler Heinrich Carl Ernst,1765-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/piot-guillaume-joseph-charles.html,"Piot, Guillaume Joseph Charles",1812-10-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/norberg-mathias.html,"Norberg, Mathias",midsommar
https://www.vitterhetsakademien.se/ledamoter/ledamoter/silfverstolpe-carl-gudmund-uno.html,"Silfverstolpe, Carl Gudmund Uno",1840-03-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nordenskiold-carl-fredrik.html,"Nordenskiöld, Carl Fredrik",1818-05-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/de-montyon-antoine-jean-baptiste-robert-auget.html,"de Montyon, Antoine Jean Baptiste Robert Auget",1733-12-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/torin-karl-johan-laurentius.html,"Torin, Karl Johan Laurentius",1826-06-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/sveinsson-einar-olafur.html,"Sveinsson, Einar Ólafur",1899-12-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/knutsson-karl-eric.html,"Knutsson, Karl Eric",1932-05-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ahlen-gustav-waldemar.html,"Åhlén, Gustav Waldemar",1894-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/gustafson-gabriel-adolf.html,"Gustafson, Gabriel Adolf",1853-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/fabricius-knud-frederik-krog.html,"Fabricius, Knud Frederik Krog",1875-08-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/pedersen-johannes-peder-ejler.html,"Pedersen, Johannes Peder Ejler",1883-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lorenzen-vilhelm-birkedal.html,"Lorenzen, Vilhelm Birkedal",1877-01-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tegner-esaias-henrik-vilhelm.html,"Tegnér, Esaias Henrik Vilhelm",1843-01-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/masreliez-louis-adrien.html,"Masreliez, Louis Adrien",1748 — d.
https://www.vitterhetsakademien.se/ledamoter/ledamoter/langberg-harald.html,"Langberg, Harald",1919-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/falk-cecilia.html,"Falk, Cecilia",1960-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/sjobring-pehr.html,"Sjöbring, Pehr",1776-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/remusat-jean-pierre-abel.html,"Rémusat, Jean Pierre Abel",1788-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hackman-alfred-leopold-fredrik.html,"Hackman, Alfred Leopold Fredrik",1864-10-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/laureani-gabriele.html,"Laureani, Gabriele",1788 — d.
https://www.vitterhetsakademien.se/ledamoter/ledamoter/putnam-frederic-ward.html,"Putnam, Frederic Ward",1839-04-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/gourdin-dom-francois-philippe.html,"Gourdin, Dom François Philippe",1739-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/soderstrom-moses.html,"Söderström, Moses",1774-06-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/henry-albert.html,"Henry, Albert",1910-03-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hojer-torvald-magnusson.html,"Höjer, Torvald Magnusson",1876-12-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/strinnholm-anders-magnus.html,"Strinnholm, Anders Magnus",1786-11-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nilsson-goran-b..html,"Nilsson, Göran B.",1934-10-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hubert-henri.html,"Hubert, Henri",1872-06-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hansson-hans-niklas-teodor.html,"Hansson, Hans Niklas Teodor",1859-09-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/mettinger-tryggve.html,"Mettinger, Tryggve",1940-06-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-malmborg-boo-fredrik-.html,von Malmborg Boo Fredrik,1905-12-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tilander-artur-gunnar.html,"Tilander, Artur Gunnar",1894-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hjortsjo-carl-herman-julius.html,"Hjortsjö, Carl-Herman Julius",1914-12-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/olsson-axel-vilhelm-martin.html,"Olsson, Axel Vilhelm Martin",1886-04-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/rundgren-gustav-frithiof.html,"Rundgren, Gustav Frithiof",1921-12-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/filip-jan.html,"Filip, Jan",1900-12-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tieck-johann-ludwig.html,"Tieck, Johann Ludwig",1773-05-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hallenberg-jonas.html,"Hallenberg, Jonas",1748-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/undset-ingvald-martin.html,"Undset, Ingvald Martin",1853-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/feilberg-henning-frederik.html,"Feilberg, Henning Frederik",1831-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ljunggren-carl-johan-fredrik.html,"Ljunggren, Carl Johan Fredrik",1858-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hildebrand-bengt-olof-hildebrand.html,"Hildebrand, Bengt Olof Hildebrand",1893-02-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wieselgren-harald-ossian.html,"Wieselgren, Harald Ossian",1835-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nordstrom-nils-johan.html,"Nordström, Nils Johan",1891-05-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/posse-goran-edvard-henning.html,"Posse, Göran Edvard Henning",1868-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/karlgren-klas-bernhard-johannes.html,"Karlgren, Klas Bernhard Johannes",1889-10-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/mercati-angelo.html,"Mercati, Angelo",1870-10-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hallberg-mauritz-emil-fredrik.html,"Hallberg, Mauritz Emil Fredrik",1851-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/holmberg-axel-emanuel.html,"Holmberg, Axel Emanuel",1817-04-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hagendahl-karl-oskar-harald.html,"Hagendahl, Karl Oskar Harald",1889-08-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/svennung-josef-gusten-algot.html,"Svennung, Josef Gusten Algot",1895-01-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/erixon-sigurd-emanuel.html,"Erixon, Sigurd Emanuel",1888-03-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/fogelberg-bengt-erland.html,"Fogelberg, Bengt Erland",1786-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/rosen-jerker-ingmar.html,"Rosén, Jerker Ingmar",1909-05-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/liestol-knut.html,"Liestøl, Knut",1881-11-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hildebrand-hans-olof.html,"Hildebrand, Hans Olof",1842-04-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hofberg-johan-herman.html,"Hofberg, Johan Herman",1823-06-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/odberg-jonas-fridolf.html,"Ödberg, Jonas Fridolf",1845-02-1
