source_spa_id,target_spa_id
TNQaWo324IAAAAAAAACgAw,sj9PGLAlnmUAAAAAABge1g
sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACgBg
TNQaWo324IAAAAAAAACgBg,sj9PGLAlnmUAAAAAABge1g
sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACgBQ
TNQaWo324IAAAAAAAACgBQ,sj9PGLAlnmUAAAAAABge1g
sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAADfog
TNQaWo324IAAAAAAAADfog,sj9PGLAlnmUAAAAAABge1g
TNQaWo324IAAAAAAAACfIQ,sj9PGLAlnmUAAAAAABge1g
sj9PGLAlnmUAAAAAABge1g,TNQaWo324IAAAAAAAACfIQ
TNQaWo324IAAAAAAAACfIQ,TNQaWo324IAAAAAAAADfog
TNQaWo324IAAAAAAAADfog,TNQaWo324IAAAAAAAACfIQ
TNQaWo324IAAAAAAAAC1uQ,WQknIBFpuuAAAAAAAAN2Vw
WQknIBFpuuAAAAAAAAN2Vw,TNQaWo324IAAAAAAAAC1uQ
sj9PGLAlnmUAAAAAABgeUA,sj9PGLAlnmUAAAAAAA7k-g
sj9PGLAlnmUAAAAAAA7k-g,sj9PGLAlnmUAAAAAABgeUA
sj9PGLAlnmUAAAAAABge0A,vfWYdYT6EoAAAAAAAAAu6w
vfWYdYT6EoAAAAAAAAAu6w,sj9PGLAlnmUAAAAAABge0A
vfWYdYT6EoAAAAAAAAAu6w,sj9PGLAlnmUAAAAAABge0A
sj9PGLAlnmUAAAAAABge0A,vfWYdYT6EoAAAAAAAAAu6w
sj9PGLAlnmUAAAAAAA3a2w,4e1scVvZ-EAAAAAAAAA68w
4e1scVvZ-EAAAAAAAAA68w,sj9PGLAlnmUAAAAAAA3a2w
sj9PGLAlnmUAAAAAAA3a2w,sj9PGLAlnmUAAAAAAA3Lwg
sj9PGLAlnmUAAAAAAA3Lwg,sj9PGLAlnmUAAAAAAA3a2w
4e1scVvZ-EAAAAAAAAA68w,sj9PGLAlnmUAAAAAAA3a2w
sj9PGLAlnmUAAAAAAA3a2w,4e1scVvZ-EAAAAAAAAA68w
4e1scVvZ-EAAAAAAAAA68w,sj9PGLAlnmUAAAAAAA3Lwg
sj9PGLAlnmUAAAAAAA3Lwg,4e1scVvZ-EAAAAAAAAA68w
0piq-fX0h5AAAAAAAABK4Q,sj9PGLAlnmUAAAAAAA6ozA
sj9PGLAlnmUAAAAAAA6ozA,0piq-fX0h5AAAAAAAABK4Q
0piq-fX0h5AAAAAAAABK4Q,sj9PGLAlnmUAAAAAAA6ozQ
sj9PGLAlnmUAAAAAAA6ozQ,0piq-fX0h5AAAAAAAABK4Q
sj9PGLAlnmUAAAAAABgaqg,YB0QHyfj0hAAAAAAAABbPw
YB0QHyfj0hAAAAAAAABbPw,sj9PGLAlnmUAAAAAABgaqg
sj9PGLAlnmUAAAAAABgRpA,sj9PGLAlnmUAAAAAABgaJg
sj9PGLAlnmUAAAAAABgaJg,sj9PGLAlnmUAAAAAABgRpA
sj9PGLAlnmUAAAAAAA5oow,sj9PGLAlnmUAAAAAABgbBA
sj9PGLAlnmUAAAAAABgbBA,sj9PGLAlnmUAAAAAAA5oow
sj9PGLAlnmUAAAAAABgbBA,sj9PGLAlnmUAAAAAAA5oow
sj9PGLAlnmUAAAAAAA5oow,sj9PGLAlnmUAAAAAABgbBA
sj9PGLAlnmUAAAAAABfOWA,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAABfOWA
I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAAAwFw
I_2wtd5VefAAAAAAAAAwFw,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAAAwGA
I_2wtd5VefAAAAAAAAAwGA,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABESg
I_2wtd5VefAAAAAAAABESg,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABESQ
I_2wtd5VefAAAAAAAABESQ,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABESw
I_2wtd5VefAAAAAAAABESw,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,I_2wtd5VefAAAAAAAABETQ
I_2wtd5VefAAAAAAAABETQ,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAAB2V0A
