qid,label,birth,wd_id
Q6219796,Ingvald Undset,1853,1059
Q6227563,Nils Vult von Steyern,1887,383
Q6241437,K. Rob. V. Wikman,1886,931
Q7088271,Olle Ferm,1947,1390
Q8019844,William Widgery Thomas,1839,1329
Q10517350,Hans Schlyter,1910,1195
Q11874744,Lars-Ivar Ringbom,1901,946
Q12312690,Frederik Poulsen,1876,887
Q12359567,Armin Tuulse,1907,677
Q16649564,Frej Klemming,1893,1187
Q16650338,Alvar Silow,1885,1125
Q16650445,Gustaf Volmar Sylvander,1816,1041
Q16650445,Gustaf Volmar Sylvander,1816,1041
Q16945228,Åke Fridh,1918,728
Q18238225,Adolf Croneborg,1900,1212
Q18330930,Frank Behre,1896,632
Q18736292,Jean-Baptiste Lautard,1768,1232
Q19043296,John Walker,1900,1372
Q19963763,Otto Olshausen,1840,1313
Q29342050,Ulf Sporrong,1936,125
Q29342058,Kirsten Gram Holmström,1925,57
Q55753548,Åke Holmberg,1915,716
Q29342063,Gustaf Wetter,1813,7
Q29342056,Merja Kytö,1953,80
Q29342041,Lana Troy,1946,202
Q29342060,Ingmar Brohed,1940,34
Q29342064,Johan Wilhelm Bergman,1796,3
Q48542876,Ingela Nilsson,1970,1419
Q48543067,Gunnel Ekroth,1963,1418
Q22582432,Carlo Bonucci,1799,1253
Q24049583,Rudolf Cronstedt,1909,1204
Q27042116,John Hamner,1870,1106
Q27981226,Alexander Seton,1768,1003
Q27996991,Anders Magnus Lindeblad,1825,1064
Q27997049,Percy Elfstrand,1891,1155
Q29341934,Maarit Jänterä-Jareborg,1954,1398
Q29341945,John Richard Clark Hall,1855,1338
Q29341948,Friedrich Wilhelm Spiegelthal,1829,1293
Q29341948,Friedrich Wilhelm Spiegelthal,1830,1293
Q29341949,Diego Bonghi,1799,1290
Q29341967,Erik Olof Leonard Behm,1890,1189
Q29341988,Frans Rodenstam,1847,1113
Q29341990,Ludvig Edvard Hedell,1844,1099
Q29342003,Ernst Gustaf Hjertberg,1831,1048
Q29342008,Erik Per Johan Dal,1922,988
Q38573,Walter Jens,1923,jens-walter
Q52878,Gustaf VI Adolf,1882,gustaf-vi-adolf-konung
Q57239,Ludwig Tieck,1773,1246
Q63183,August Boeckh,1785,boeckh-august
Q66092,Theodor Wiegand,1864,863
Q67409,Christian Karl Josias von Bunsen,1791,von-bunsen-christian-carl-josias
Q73553,Friedrich Heinrich von der Hagen,1780,von-der-hagen-friedrich-heinrich-
Q104728,Joseph Braun,1857,1357
Q188929,Arthur Evans,1851,847
Q321959,Martin P:son Nilsson,1874,533
Q333202,Hugo Pipping,1864,1337
Q350124,Kevin Mulligan,1951,1385
Q366786,Henri Breuil,1877,1345
Q372652,"Claude Emmanuel Joseph Pierre, marquis de Pastoret",1755,1230
Q380824,Jean Jacques Ampère,1800,1271
Q442232,Fjodor Braun,1862,1344
Q659722,Salomon Reinach,1858,1320
Q760870,August Beck,1812,1295
Q865173,Birger Nerman,1888,593
Q1306158,Juliane Giovane,1757,760
Q1306158,Juliane Giovane,1766,760
Q1373367,Olof von Dalin,1708,von-dalin-olof
Q1712861,Julius Erdmann August Naue,1833,1324
Q1782217,Konrad Marc-Wogau,1902,672
Q1960724,Hans Järta,1774,jarta-hans
Q2440796,Henri Hubert,1872,1346
Q2660801,Carl Ferdinand Allen,1811,1292
Q2744392,Finnur Jónsson,1858,1331
Q2860647,Arcisse de Caumont,1801,1274
Q3172923,Jean Labouderie,1776,1242
Q3333112,Jacob Wallenberg,1892,wallenberg-jacob
Q3427606,Henry Petersen,1849,1309
Q3430113,Juhani Rinne,1872,1352
Q3439005,Claudius Jacob Schive,1792,schive-claudius-jacob
Q3439005,Claudius Jacob Schive,1792,schive-claudius-jacob
Q3735543,Eino Jutikkala,1907,949
Q3805768,Jakob Adlerbeth,1785,adlerbeth-jacob
Q3903701,Pietro Bianchi,1787,1267
Q4345728,Jacob Tengström,1755,tengstrom-jacob
Q4990132,Berit Wallenberg,1902,1192
Q4992085,Lars von Engeström,1751,von-engestrom-lars
Q5400516,Yrjö Hirn,1870,891
Q5571227,Gösta Berg,1903,652
Q5571830,Per Erik Bergfalk,1798,461
Q5573767,Karl Berlin,1871,1082
Q5581962,Carl von Bonsdorff,1862,1340
Q5584151,Vilhelm Boye,1837,1310
Q5615348,Sigurd Dahlbäck,1866,1121
Q5626148,Carl Wilhelm von Düben,1724,von-duben-carl-wilhelm
Q5714463,Einar Erici,1885,1154
Q5821143,Torvald M:son Höjer,1876,539
Q5914516,Oskar Klockhoff,1850,1086
Q5917753,Janus Lauritz Andreas Kolderup-Rosenvinge,1792,1236
Q5948215,Lars Levander,1883,601
Q5955376,Erik Hjalmar Linder,1906,1206
Q6019515,Ernst Nygren,1889,609
Q6198582,Hilding Svensson,1890,1148
Q6201326,Carl Säve,1812,476
Q6231454,Bo Wallner,1923,741
Q6238340,Henric Westman,1853,1101
Q7174032,Peter Foote,1924,1380
Q9129561,Itaru Tomiya,1952,1408
Q12300596,Adolph Strunk,1816,1308
Q12302239,William Mollerup,1846,1322
Q16650617,Erik Wistrand,1907,681
Q17679584,Jakob Jakowlewitsch Reichel,1778,reichel-jacob
Q18246804,Pehr Gunnar Vejde,1885,1150
Q18816566,John Tuneld,1904,1213
Q21083487,Guglielmo De Angelis d'Ossat,1907,930
Q21586927,Åke Davidsson,1913,1220
Q22995872,Amédée Chaumette des Fossés,1782,1233
Q23989481,Malte Eurenius,1821,1058
Q27996964,Carl Fredrik Hallencreutz,1934,750
Q27997009,Reginald Hugh Michael Dolley,1925,1378
Q27997020,Sven Tore Alfred Rydberg,1917,1203
Q28871831,Erik Vennberg,1886,vennberg-erik-linus
Q29341941,Hans Thümmler,1910,1381
Q29341947,Oskar Planer,1854,1311
Q29341956,Björn Hartvig Helmfrid,,1224
Q29341971,Hans Harald Stale,1893,1180
Q29341976,Poul Helge Enger,,1156
Q29341998,Anders Fredrik Ekewall,1819,1054
Q29342025,Carl Johan Strand,1728,strand-carl-johan.html
Q29997027,Gunnel Cederlöf,1960,1417
