qid,label,birth,wd_id
Q12085255,Per-Arne Bodin,1949,38
Q12085255,Per-Arne Bodin,1949,38
Q12377842,Urve Miller,1930,159
Q12874316,Vassos Karageorghis,1929,184
Q13412730,Kenneth Jonsson,1950,77
Q16467531,Peter Olsson,1838,1090
Q16633099,Anders Jeffner,1934,73
Q16633323,Carl Nylander,1932,106
Q18245360,Patrik Reuterswärd,1922,726
Q18245485,Margaretha Rossholm Lagerlöf,1943,115
Q18921179,Poul Jørgen Riis,1910,975
Q23989204,Gunnar Tideström,1906,674
Q27996910,Carl Cullberg,1930,152
Q27996968,Alf Amund Amundson,1875,380
Q27996988,Sven Johan Gustaf Ljung,1906,1228
Q27997002,Cajus Fabricius,1925,744
Q27997004,Kaj Århem,1948,146
Q27997016,Francesco Fabi Montani,1801,1261
Q27997028,Hans Kronning,1953,79
Q29034039,Birgitta Svensson,1948,133
Q29341960,Johan Axel Christian Callmer,1908,1208
Q29341973,Arthur Olof Bernhard Bygdén,1881,1174
Q29342032,Johan Jakob Frans (John) Jennings,1762,283
Q29342047,Marianne Thormählen,1949,138
Q29342051,Lars Lindvall,1935,92
Q260,Jean-François Champollion,1790,781
Q22670,Friedrich Schiller,1759,765
Q63224,Gustaf Kossinna,1858,867
Q65617,Ludwig Curtius,1874,884
Q66729,Theodor von Sickel,1826,835
Q85333,Johann Martin Lappenberg,1794,794
Q104294,Wilhelm Eduard Wilda,1800,792
Q124571,Jean-Pierre Guillaume Catteau-Calleville,1759,766
Q304825,Angelo Mai,1782,774
Q330061,Fredrik Wilhelm Scholander,1816,480
Q333297,Frans Michael Franzén,1772,446
Q450909,Emil Zilliacus,1878,895
Q465251,Ragnar Josephson,1891,620
Q670006,Gunnar Rudberg,1880,564
Q692356,Arne Furumark,1903,643
Q699662,Giovanni Battista de Rossi,1822,831
Q706613,Georg Sarauw,1862,1348
Q739986,Alfred Ernout,1879,879
Q792205,Axel Hägerström,1868,552
Q977052,Gunnar Jarring,1907,683
Q1449901,Franz von Erdmann,1793,1268
Q1542289,Tore Janson,1936,71
Q1800486,Laurids Engelstoft,1774,790
Q1807494,Ingvar Andersson,1899,610
Q1959642,Harald Hjärne,1848,508
Q2069286,Giovanni Colonna,1934,175
Q2342814,Alexandre Bertrand,1820,832
Q2602022,Albert Henry,1910,967
Q3316616,Anton Wilhelm Brøgger,1884,886
Q3316616,Anton Wilhelm Brøgger,1884,886
Q3357388,Carl Frederik Bricka,1845,1317
Q3370115,Eva Österberg,1942,147
Q4354347,Martin Weibull,1835,496
Q4356831,Max Engman,1945,177
Q4547462,Johan Jakob Nordström,1801,466
Q4583825,Johannes Brøndsted,1890,892
Q4710506,Albert Hugh Smith,1903,944
Q4946711,Elisabet Engdahl,1949,50
Q4956126,Anita Jacobson-Widding,1934,70
Q4976491,Kerstin Sahlin,1954,119
Q4992490,Erik Wilhelm Dahlgren,1848,519
Q4992644,Carl Georg Brunius,1792,469
Q5040123,Carl Fehrman,1915,678
Q5547555,Johan Axel Almquist,1870,537
Q5556725,Åke Andrén,1917,734
Q5563907,Axel Gabriel Leijonhufvud,1717,234
Q5575123,Sven Peter Bexell,1775,1006
Q5597308,Nils Fredrik Biberg,1776,434
Q5602780,Gunnar Carlquist,1889,635
Q5609612,Samuel Clason,1867,530
Q5629505,Richard Ekblom,1874,577
Q5699785,Henrik Cornell,1890,615
Q5731679,Peter M. Fischer,1946,209
Q5744327,Sigurd Fries,1924,54
Q5912331,Adolf Kjellström,1834,1089
Q5923969,Åke Kromnow,1914,691
Q5937977,Lars Larsson,1947,82
Q5954415,Johannes Lindblom,1882,996
Q5968030,Carl Johan Lundvall,1775,455
Q5969151,Frits Läffler,1847,522
Q6014702,Carl Fredric Nordenskiöld den äldre,1702,1049
Q6021082,Gustaf Näsström,1899,1159
Q6027483,Martin Olsson,1886,594
Q6027612,Nils William Olsson,1909,1373
Q6060402,Wlodek Rabinowicz,1947,112
Q6066366,Gustaf Regnér,1748,432
Q6083142,Olof Ruin,1927,116
Q6085718,Johan Erik Rydqvist,1800,467
Q6086089,Göran Rystad,1925,117
Q6138872,James Mann,1897,1358
Q6170345,Adolf Schück,1897,630
Q6181789,Helmer Smith,1882,578
Q6190492,Arthur Stille,1863,532
Q6197241,Gunnar Svahnström,1915,165
Q6205468,Esaias Tegnér den yngre,1843,487
Q6239944,Sam Wide,1861,528
Q7668203,T. D. Kendrick,1895,909
Q11905856,Antonio Griera y Gaja,1887,934
Q12309862,Else Kai Sass,1912,973
Q16650018,Fredrik Nordin,1852,524
Q18237382,Olof Arngart,1905,997
Q19721274,Johan Wahlfisk,1842,1068
Q19976002,Gunn Johansson,1941,75
Q19976292,Franz Blatt,1903,969
Q27902128,Berndt Brehmer,1940,39
Q27996914,Arne Vidar Rudolf Christensen,1919,151
Q27996920,Sven Ronald Gustavsson,1938,59
Q27997012,Arvid Viktor Zetterling,1865,1130
Q27997033,Johan Enequist,1787,1019
Q27997037,Morten Nøjgaard,1934,196
Q27997047,Levin Christian Wiede,1804,1015
Q29341958,Lars Ulf Johansson Stiernstedt,1909,1219
Q29341966,Karl Rencke,1892,1190
Q29342002,Emanuel Thure Cederström,1848,1050
Q29342005,Ludvig Palmgren,1844,1044
Q29342007,Jean-Pierre Mousson-Lestang,1934,992
Q29342013,Per Vilhelm Lundström,1922,738
Q29342018,Bernhard Julius Lewin,1903,676
Q29342040,Richard Whitley,1944,203
Q29342045,Rune Åberg,1942,144
Q78894,Manfred Bietak,1940,170
Q102139,Margrethe II av Danmark,1940,213
Q159723,Nathan Söderblom,1866,365
Q321521,Fredrik Ferdinand Carlson,1811,338
Q329349,Jean Leclant,1920,188
Q337043,Randolph Quirk,1920,199
Q366765,Esaias Tegnér,1782,307
Q525663,Anton Niklas Sundberg,1818,333
Q640991,Gustaf Retzius,1842,353
Q660553,François-Auguste Mignet,1796,1270
Q741054,Christopher Holmboe,1796,339
Q873005,Domenico Lo Faso Pietrasanta,1783,1258
Q930758,Carl von Rosenstein,1766,273
Q943803,Uno von Troil,1746,253
Q949175,Sture Allén,1928,17
Q1039853,Carl Möller,1857,362
Q1040670,Carl Snoilsky,1841,348
Q1157217,Dagfinn Føllesdal,1932,178
Q1243694,Fritz Paul,1942,198
Q1555418,August Gustaf Eisen,1847,1135
Q1603725,Helmut Jäger,1923,183
Q1613210,Johan Gabriel Oxenstierna,1750,256
Q2268637,"Prinsessan Christina, fru Magnuson",1943,1399
Q2349252,Johan Reinhold Aspelin,1842,1301
Q3083698,François-Xavier Dillmann,1949,176
Q3916765,Fredrik Wachtmeister,1855,360
Q4569362,Mathias Rosenblad,1758,266
Q4582212,Aleksander Kan,1925,157
Q4916293,Birgitta Fritz,1935,155
Q4938540,Brita Bergman,1946,28
Q4940233,Ragnhild Boström,1917,150
Q4970779,Birgitta Odén,1921,107
Q5542416,Rolf Adamson,1927,15
Q5545710,Bertil Albrektson,1929,16
Q5547221,Göran Alm,1945,214
Q5547358,Bertil Almgren,1918,18
Q5554562,Greger Andersson,1952,20
Q5556122,Thorsten Andersson,1929,22
Q5556654,Anders Andrén,1952,23
Q5559995,Peter Aronsson,1959,2
Q5567167,Jean-François Battail,1939,169
Q5577315,Per Bjurström,1928,29
Q5581559,Gustaf Bonde,1682,229
Q5583374,Anders af Botin,1724,236
Q5586654,Stefan Brink,1952,33
Q5588684,Nils G. Bruzelius,1826,1033
Q5591451,Samuel Byrskog,1957,222
Q5726689,Mohammad Fazlhashemi,1961,219
Q5729302,Eric Festin,1878,1115
Q5786852,Carl Gustaf Hammarskjöld,1865,349
Q5880547,Arne Jarrick,1952,1388
Q5930787,Magnus Lagerberg,1844,1070
Q5933728,Lars Landgren,1810,336
Q5961497,Claes Johan Ljungström,1819,1036
Q5974619,Christopher Manderström,1727,239
Q5999630,Janken Myrdal,1949,102
Q6011903,Sten Åke Nilsson,1936,104
Q6062282,Malte Ramel,1747,251
Q6093380,Sven Sandström,1927,121
Q6169392,Elis Schröderheim,1747,259
Q6170614,Anders Schönberg den yngre,1737,241
Q6184994,Gustaf Sparre,1802,314
Q6197800,Johan Svedjedal,1956,132
Q6197800,Johan Svedjedal,1956,132
Q6198160,Sven G. Svenson,1919,1227
Q6201336,Pehr Arvid Säve,1811,344
Q6202417,Knut Fredrik Söderwall,1842,359
Q6233989,Johan Otto Wedberg,1826,343
Q6247226,Johan Wrede,1935,205
Q6255717,Mats Åmark,1882,1151
Q6256396,Fridolf Ödberg,1845,1088
Q6742359,Malcolm H. Wiener,1935,212
Q9184565,Carl Gustaf Schultz von Ascheraden,1743,244
Q11855618,Curt Olsson,1919,197
Q11981437,Kolbjørn Skaare,1931,201
Q12354836,Sam Owen Jansson,1906,1214
Q15445582,Michael Müller-Wille,1938,195
Q15637546,Jerker Blomqvist,1938,1031
Q16596442,Berta Stjernquist,1918,128
Q16596643,Louise Vinge,1931,143
Q16596643,Louise Vinge,1931,143
Q16650368,Erik af Sotberg,1724,238
Q18374417,Catharina Raudvere,1960,113
Q24878904,Wilhelm Marks von Würtenberg,1743,270
Q27215304,Ingrid Sjöström,1938,164
Q27996911,Lars Olof Fägersten,1775,311
Q27996918,Allan Ranius,1934,161
Q27996919,Cecilia Falk,1960,216
Q27996926,Petrus Norberg,1875,1173
Q27996949,Kristian Kristiansen,1948,187
Q27996993,Eva Rystedt,1945,118
Q27996995,Gun Widmark,1920,142
Q28005441,Staffan Rosén,1944,114
Q28466415,Erik Modin,1862,1108
Q29341932,Ann-Charlotte Gavel Adams,1944,1403
Q29341957,Bengt Erik Martin Bylund,1922,1223
Q29341969,Emil Schieche,1901,1185
Q29341992,Fredrik Ferdinand Reventlow,1850,1092
Q29341992,Fredrik Ferdinand Reventlow,1850,1092
Q29342039,Agneta Åkerlund,1949,217
Q64607,Wilhelm von Bode,1845,849
Q129022,Charles-Jean-François Hénault,1685,246
Q155914,Peter Simon Pallas,1741,759
Q274996,Émile Cartailhac,1845,853
Q277899,Emanuel Walberg,1873,555
Q312501,Henri Pirenne,1862,851
Q330454,Abraham Niclas Edelcrantz,1754,269
Q361286,Prins Gustaf av Sverige och Norge,1827,294
Q382709,Sigurd Erixon,1888,573
Q721401,Elias Wessén,1889,567
Q736172,Sture Petrén,1908,391
Q742191,Prins August av Sverige och Norge,1831,296
Q792278,Axel Moberg,1872,563
Q793616,"Prins Carl, hertig av Västergötland",1861,299
Q984681,Carl Gustaf af Leopold,1756,427
Q990655,Bror Emil Hildebrand,1806,459
Q1039226,Carl Kempe,1884,385
Q1246324,John Evans,1823,818
Q1281062,Georges Perrot,1832,833
Q1361926,Nils Åberg,1888,618
Q1529543,Sture Bolin,1900,644
Q1554759,Gunnar Lagergren,1912,397
Q1577074,Hans-Günter Buchholz,1919,174
Q1626000,Homer Thompson,1906,951
Q1634464,Hugh Marwick,1881,1365
Q1667711,Paul Raabe,1927,200
Q1786546,Ejnar Dyggve,1887,885
Q1960781,Adolf Ditlev Jørgensen,1840,827
Q1992375,Nils Johan Ekdahl,1799,1004
Q2156541,Robert Beltz,1854,854
Q2193692,Birger Wedberg,1870,372
Q2302669,Johan David Valerius,1776,315
Q2330222,Ksawery Liske,1838,1300
Q2488135,Bengt Sigurd,1928,124
Q2694124,Albrecht Elof Ihre,1797,309
Q2832516,Aleksander Gieysztor,1916,980
Q3054681,Henning Hamilton,1814,324
Q3247040,Lars Huldén,1926,180
Q3734664,Matthias Calonius,1737,426
Q3734664,Matthias Calonius,1738,426
Q4111187,Georgy Vilinbakhov,1949,221
Q4154203,Östen Dahl,1945,44
Q4157018,Jacob Gustaf De la Gardie,1768,291
Q4517378,Alexander Oganovich Chubarian,1931,1392
Q4993194,Olof Wallquist,1755,263
Q4993194,Olof Wallquist,1755,263
Q5278391,Henning Throne-Holst,1895,390
Q5543417,Anders Agell,1930,752
Q5556663,Carl-Gustaf Andrén,1922,24
Q5561353,Gunnar Aspelin,1898,591
Q5572950,Lars Bergquist,1930,148
Q5584766,Gunnar Brandell,1916,723
Q5630578,Gösta Ekman,1920,659
Q5708198,Johan Elers,1730,237
Q5712215,Jacob von Engeström,1735,404
Q5728622,Bengt Ferner,1724,403
Q5733763,Johan Floderus,1721,408
Q5744398,Otto von Friesen,1870,526
Q5748259,Olof Fåhræus,1796,331
Q5776536,Wilhelm Gumælius,1789,329
Q5784592,Jonas Hallenberg,1748,413
Q5809199,Manne Hofrén,1895,1161
Q5818420,Israel Hwasser,1790,325
Q5863057,Lars Furuland,1928,743
Q5931040,Otto Lagercrantz,1868,553
Q5983613,Daniel Melanderhjelm,1726,243
Q5989883,Lennart Moberg,1914,703
Q5997574,Johan Murberg,1734,411
Q6028152,Ulf Olsson,1939,108
Q6066593,Mats Rehnberg,1915,701
Q6082690,Carl Rudenschöld,1698,227
Q6166535,Leonhard Fredrik Rääf,1786,452
Q6172436,Gösta Selling,1900,648
Q6204065,Nils Magnus af Tannström,1777,308
Q6219094,Frits Uldall,1839,1330
Q6223367,Gustaf Velander,1884,389
Q6234215,Caspar Frederik Wegener,1802,804
Q6240723,Albert Wifstrand,1901,580
Q7878878,Ulf Erik Hagberg,1932,62
Q7928867,Vigdis Ystad,1942,206
Q8467287,Nils Simonsson,1920,720
Q10413823,Eugène Lewenhaupt,1849,358
Q10511089,Gustaf af Nordin,1799,321
Q11899441,Ulla Ehrensvärd,1927,153
Q11967689,Erich Christian Werlauff,1781,782
Q12322917,Kristian Hald,1904,971
Q12327830,Mouritz Mackeprang,1869,862
Q15945202,Joseph Anderson,1832,826
Q15992519,Edoardo Brizio,1846,1319
Q16649485,Otto Janse,1867,529
Q21402549,Anders Wilde,1725,417
Q24285860,Allan Ellenius,1927,999
Q24303822,Birgit Stolt,1927,129
Q27996916,Michael Herslund,1945,1393
Q29341929,Lena Ambjörn,1958,1405
Q29341931,Bengt G. Karlsson,1961,1404
Q29341939,Margherita Giordano Lokrantz,1935,1384
Q29341980,Oskar Linus Lidén,1870,1141
Q29341994,Abraham Ahlén,1844,1065
Q29342012,Bo Hilding Särlvik,1928,749
Q29342028,Otto Smith,1864,369
Q29342043,Elena Balzamo,1956,192
Q9068,Voltaire,1694,248
Q52925,Karl XV,1826,293
Q52950,Louis de Geer den äldre,1818,327
Q53633,Ernst Trygger,1857,367
Q71572,Hermann Junker,1877,1353
Q90219,Eduard von Sacken,1825,808
Q116916,Gustaf af Wetterstedt,1776,272
Q268259,Lorentz Dietrichson,1834,354
Q298317,Östen Undén,1886,376
Q333651,Henrik Gabriel Porthan,1739,415
Q347372,Louis-Jules Mancini-Mazarini,1716,756
Q380937,Erik Gustaf Geijer,1783,448
Q381953,Ramón Menéndez Pidal,1869,914
Q389589,Régis Blachère,1900,963
Q432129,Viktor Rydberg,1828,499
Q437719,Fred Karlsson,1946,185
Q470254,Hamit Zübeyir Koşay,1897,1359
Q491083,Anders Johan von Höpken,1712,224
Q517947,Hanna Rydh,1891,1127
Q534493,Alf Lombard,1902,656
Q536191,Angelo Mercati,1870,908
