wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q215018,6340,52.349335,52.349335,sj9PGLAlnmUAAAAAAB4ggw,Fredrik,Hessenstein,1735
http://www.wikidata.org/entity/Q727574,32793,52.33627,52.33627,4e1scVvZ-EAAAAAAAAAQLA,Georg,von Döbeln,1758
http://www.wikidata.org/entity/Q6034059,66586,52.21926,52.21926,4e1scVvZ-EAAAAAAAAAfYw,Elias,Palmskiöld,1667
http://www.wikidata.org/entity/Q3876458,46988,52.175056,52.175056,sj9PGLAlnmUAAAAAAB2Tbg,Niclas,Sahlgren,1701
http://www.wikidata.org/entity/Q2073728,38615,52.152,52.152,4e1scVvZ-EAAAAAAAAAdmA,Katarina,Karlsdotter-Vasa,1584
http://www.wikidata.org/entity/Q6060365,68994,52.12881,52.12881,9Y5iReTPHdAAAAAAAABBwQ,Olof,Rabenius,1730
http://www.wikidata.org/entity/Q19976050,88719,52.094032,52.094032,sj9PGLAlnmUAAAAAACZdvg,Astolf,Möller,1829
http://www.wikidata.org/entity/Q234251,7813,51.93,51.93,VaM-WW8ntnAAAAAAAAAA8g,"av, Lovisa",Preussen,1720
http://www.wikidata.org/entity/Q5700535,58736,51.869934,51.869934,4e1scVvZ-EAAAAAAAAAfJQ,Isaac,Cronström,1620
http://www.wikidata.org/entity/Q5907381,63098,51.678272,51.678272,0piq-fX0h5AAAAAAAABaKQ,Sandro,Key-Åberg,1922
http://www.wikidata.org/entity/Q705048,28925,51.519703,51.519703,sj9PGLAlnmUAAAAAABzxrg,Christopher,Hansteen,1784
http://www.wikidata.org/entity/Q281020,11962,51.488037,51.488037,sj9PGLAlnmUAAAAAAB2TQA,Pierre,Dulong,1785
http://www.wikidata.org/entity/Q4977687,52646,51.4759,51.4759,YB0QHyfj0hAAAAAAAADUKA,Martina,von Schwerin,1789
http://www.wikidata.org/entity/Q2938914,37297,51.395275,51.395275,sj9PGLAlnmUAAAAAABVt5w,Carl,von Breda,1759
http://www.wikidata.org/entity/Q21517972,96992,51.34729,51.34729,0piq-fX0h5AAAAAAAABIsA,Edvard,von Krusenstjerna,1908
http://www.wikidata.org/entity/Q5778530,70247,51.307274,51.307274,1ha4xkDj-uAAAAAAAAA-WA,Emil,Gustrin,1839
http://www.wikidata.org/entity/Q4988547,54416,51.28453,51.28453,sj9PGLAlnmUAAAAAACYyzQ,Ida,Gawell-Blumenthal,1869
http://www.wikidata.org/entity/Q101526852,118974,51.282555,51.282555,sj9PGLAlnmUAAAAAACY39A,Louise,Woods-Beckman,1852
http://www.wikidata.org/entity/Q4939194,47525,51.188663,51.188663,sj9PGLAlnmUAAAAAAA2u9w,Ulla,Bjerne-Biaudet,1890
http://www.wikidata.org/entity/Q1527703,31692,51.181614,51.181614,WQknIBFpuuAAAAAAAANgZA,Jakob,Björnståhl,1731
http://www.wikidata.org/entity/Q50512443,101415,51.14291,51.14291,0piq-fX0h5AAAAAAAABXBA,Ebba,Kolare-Theorin,1891
http://www.wikidata.org/entity/Q4889566,44830,51.09522,51.09522,sj9PGLAlnmUAAAAAABUC0A,Benkt-Åke,Benktsson,1907
http://www.wikidata.org/entity/Q5746755,65929,51.012444,51.012444,sj9PGLAlnmUAAAAAABLHbw,Rutger,Fuchs,1682
http://www.wikidata.org/entity/Q5906242,63078,50.985622,50.985622,0piq-fX0h5AAAAAAAAAc0g,George,Kennedy,1850
http://www.wikidata.org/entity/Q246699,8053,50.97603,50.97603,sj9PGLAlnmUAAAAAAB5qzA,Lars Lasse Lucidor,Johansson,1638
http://www.wikidata.org/entity/Q6086969,72722,50.92756,50.92756,sj9PGLAlnmUAAAAAAB2TbQ,Casten,Rönnow,1700
http://www.wikidata.org/entity/Q3362415,55523,50.911297,50.911297,sj9PGLAlnmUAAAAAAB2cZQ,Magda,von Dolcke,1838
http://www.wikidata.org/entity/Q4938904,47515,50.771984,50.771984,TNQaWo324IAAAAAAAADYzg,Eugenie,Beskow-Heerberger,1867
http://www.wikidata.org/entity/Q1389093,40505,50.7542,50.7542,sj9PGLAlnmUAAAAAABzpTA,Jacob,Faggot,1699
http://www.wikidata.org/entity/Q6192830,82765,50.6842,50.6842,sj9PGLAlnmUAAAAAAB2WYA,Alexander,von Strussenfelt,1716
http://www.wikidata.org/entity/Q15713810,90228,50.645615,50.645615,sj9PGLAlnmUAAAAAABO5tA,Beata,Rosenhane,1638
http://www.wikidata.org/entity/Q6167981,76692,50.588547,50.588547,YB0QHyfj0hAAAAAAAABgvA,Frans,von Schéele,1795
http://www.wikidata.org/entity/Q1769511,55963,50.580776,50.580776,WQknIBFpuuAAAAAAAAN1Ig,Peder,Winstrup,1605
http://www.wikidata.org/entity/Q4354836,51118,50.406456,50.406456,sj9PGLAlnmUAAAAAAA3rRw,Israel,Acrelius,1714
http://www.wikidata.org/entity/Q27862857,96191,50.39181,50.39181,sj9PGLAlnmUAAAAAABOClg,Carita,Hassler-Göransson,1890
http://www.wikidata.org/entity/Q11903156,74401,50.384754,50.384754,sj9PGLAlnmUAAAAAABkiVA,Zaida,Eriksson-Lihr,1895
http://www.wikidata.org/entity/Q6168605,76717,50.21848,50.21848,YB0QHyfj0hAAAAAAAABieg,Sigval,Schmidt-Nielsen,1877
http://www.wikidata.org/entity/Q179558,16128,50.1898,50.1898,0piq-fX0h5AAAAAAAABaFw,Aleksandra,Kollontaj,1872
http://www.wikidata.org/entity/Q983663,32565,50.147964,50.147964,TNQaWo324IAAAAAAAACvGw,Knud,Bergslien,1827
http://www.wikidata.org/entity/Q1910650,33389,50.143635,50.143635,TNQaWo324IAAAAAAAAD9Eg,Mathias,Benzelstierna,1713
http://www.wikidata.org/entity/Q37008074,107301,50.125477,50.125477,j6S8rJvx9lAAAAAAAADJbA,Johan,von Holten,1814
