"mid","status","title","url"
"M112391890","ok","File:Anne-Marie Brunius SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112391890"
"M112392365","ok","File:Axel Brunius SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392365"
"M112392379","ok","File:Axel Brunius SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392379"
"M112392400","ok","File:Axel Brunius SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392400"
"M112392578","ok","File:Astrid Cleve SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392578"
"M112392585","ok","File:Astrid Cleve SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392585"
"M112392594","ok","File:Astrid Cleve-von-Euler SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392594"
"M112397349","ok","File:Astrid Björkman SPA3 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112397349"
"M112444010","ok","File:Axel Bildt SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112444010"
"M112444076","ok","File:Axel Bildt SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112444076"
"M112444089","ok","File:Axel Bildt SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112444089"
"M112444105","ok","File:Axel Bildt SPA10.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112444105"
"M112467280","ok","File:Anna Säve SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112467280"
"M112467292","ok","File:Anna Säve SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112467292"
"M112478423","ok","File:Anna-Clara Romanus-Alfvén SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112478423"
"M112480845","ok","File:Astrid Kjellberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112480845"
"M112481725","ok","File:Anton Romanus SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112481725"
"M112481735","ok","File:Anton Romanus SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112481735"
"M110681312","ok","File:Bengt Bergius SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110681312"
"M110883520","ok","File:Axel Erik von Sydow SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110883520"
"M111679499","ok","File:Axel Hermelin SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111679499"
"M112237138","ok","File:Axel Perman SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237138"
"M112237263","ok","File:Axel Ölund SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112237263"
"M112238624","ok","File:Axel Fredenholm SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238624"
"M112238646","ok","File:Axel Fredenholm SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238646"
"M112238668","ok","File:Axel Fredenholm SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112238668"
"M112241698","ok","File:Bengt Hedberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112241698"
"M112241716","ok","File:Bengt Hedberg SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112241716"
"M112247814","ok","File:Axel Mörner SPA10.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112247814"
"M112249446","ok","File:Axel Danielsson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249446"
"M112249450","ok","File:Axel Danielsson SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249450"
"M112249460","ok","File:Axel Danielsson SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112249460"
"M112293400","ok","File:Axel Landquist SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112293400"
"M112304636","ok","File:Axel Gussander SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112304636"
"M112305539","ok","File:Axel Gussander SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112305539"
"M112312797","ok","File:Axel Rudolf Mauritz Wall SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112312797"
"M112315649","ok","File:Bengt Holmberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112315649"
"M112315706","ok","File:Bengt Holmberg SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112315706"
"M112317804","ok","File:Axel Mannerskantz SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112317804"
"M112317814","ok","File:Axel Mannerskantz SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112317814"
"M112317818","ok","File:Axel Mannerskantz SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112317818"
"M112337997","ok","File:Bengt Holmberg SPA2 (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112337997"
"M112338053","ok","File:Axel Olof Holmberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112338053"
"M112338062","ok","File:Axel Olof Holmberg SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112338062"
"M112374715","ok","File:Axel Gustaf Samuel von Troil SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112374715"
"M112374729","ok","File:Axel Gustaf Samuel von Troil SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112374729"
"M112392464","ok","File:Axel Brunius SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112392464"
