,0,1
380,M112705458,Q6215604
381,M112705471,Q6215604
382,M112705480,Q6215604
383,M112705653,Q6230797
384,M112705696,Q6230797
385,M112705715,Q109668406
386,M112718593,Q108601123
387,M112718643,Q108601123
388,M112718788,Q108601123
389,M112718843,Q108601123
390,M112718922,Q108601123
391,M112718968,Q108601123
392,M112718976,Q108601123
393,M112718986,Q108601123
394,M112718997,Q108601123
395,M112719006,Q108601123
396,M112719025,Q108601123
397,M112719037,Q108601123
398,M112736061,Q19885770
399,M112736084,Q19885770
400,M112381580,Q18941083
401,M112381602,Q18941083
402,M112387648,Q4974025
403,M112404050,Q5590405
404,M112404058,Q5590405
405,M112404069,Q5590405
406,M112404073,Q5590405
407,M112442711,Q109540199
408,M112442714,Q109540199
409,M112443500,Q109540199
410,M112445224,Q20732118
411,M112457972,Q4968733
412,M112487802,Q5771753
413,M112487890,Q5771753
414,M112487895,Q5771753
415,M112487923,Q5771753
416,M112487930,Q5771753
417,M112487942,Q5771753
418,M112487949,Q5771753
419,M112487959,Q5771753
420,M112487965,Q5771753
421,M112487972,Q5771753
422,M112487980,Q5771753
423,M112487985,Q5771753
424,M112487993,Q5771753
425,M112488000,Q5771753
426,M112488035,Q5771753
427,M112489027,Q98276608
428,M112489061,Q98276608
429,M112504166,Q109570404
430,M112518517,Q487347
431,M112547097,Q55341899
432,M112555010,Q23988429
433,M112555023,Q23988429
434,M112571673,Q559295
435,M112685282,Q6197306
436,M112685308,Q6197306
437,M112685317,Q6197306
438,M112710063,Q6245517
439,M112710072,Q6245517
440,M112710142,Q6245517
441,M112710151,Q6245517
442,M112710166,Q6245517
443,M112710180,Q6245517
444,M112710194,Q6245517
445,M112710214,Q6245517
446,M112820435,Q64412509
447,M112820461,Q64412509
448,M112820468,Q64412509
449,M112820473,Q64412509
450,M112363897,Q5580507
451,M112372972,Q5726353
452,M112372976,Q5726353
453,M112381604,Q18941083
454,M112404129,Q28840091
455,M112407737,Q28840091
456,M112412852,Q5597379
457,M112412857,Q5597379
458,M112412926,Q55330994
459,M112417582,Q42174098
460,M112435666,Q5607767
461,M112518928,Q6075847
462,M112518937,Q6075847
463,M112518942,Q6075847
464,M112518945,Q6075847
465,M112518957,Q6075847
466,M112518969,Q6075847
467,M112518977,Q6075847
468,M112518993,Q5341372
469,M112518998,Q5341372
470,M112519005,Q5341372
471,M112519009,Q5341372
472,M112519023,Q5341372
473,M112519292,Q19976998
474,M112519305,Q19976998
475,M112519317,Q19976998
476,M112520547,Q87446203
477,M112520553,Q87446203
478,M112540650,Q86776873
479,M112542992,Q6053800
480,M112543008,Q6053800
481,M112554649,Q426033
482,M112554667,Q426033
483,M112554685,Q426033
484,M112580736,Q55297506
485,M112580752,Q55297506
486,M112580762,Q55297506
487,M112580776,Q55297506
488,M112580805,Q55297506
489,M112646588,Q1555433
490,M112652034,Q1785241
491,M112652042,Q1785241
492,M112652431,Q4981979
493,M112652647,Q6225110
494,M112652657,Q6225110
495,M112757724,Q988871
496,M112757731,Q988871
497,M112757735,Q988871
498,M112797394,Q4942361
499,M112797447,Q4942361
500,M112376598,Q109478834
501,M112376605,Q109478834
502,M112427695,Q23989101
503,M112427835,Q6181707
504,M112427844,Q6181707
505,M112427854,Q6181707
506,M112427859,Q6181707
507,M112427861,Q6181707
508,M112427871,Q6181707
509,M112442921,Q64413141
510,M112480224,Q16945315
511,M112480281,Q16945315
512,M112488119,Q106839926
513,M112488282,Q106839926
514,M112488301,Q106839926
515,M112488307,Q106839926
516,M112498479,Q277899
517,M112498509,Q277899
518,M112502121,Q6024567
519,M112520344,Q65156019
520,M112520355,Q65156019
521,M112520360,Q65156019
522,M112520367,Q65156019
523,M112520375,Q65156019
524,M112520385,Q65156019
525,M112520391,Q65156019
526,M112520400,Q65156019
527,M112547780,Q6186988
528,M112547787,Q6186988
529,M112589675,Q6215610
530,M112589726,Q6215610
531,M112589797,Q6215610
532,M112589809,Q6215610
533,M112589824,Q6215610
534,M112651261,Q59656556
535,M112651263,Q59656556
536,M112651325,Q59656556
537,M112651329,Q59656556
538,M112651331,Q59656556
539,M112651335,Q59656556
540,M112652561,Q5575709
541,M112652564,Q5575709
542,M112652570,Q5575709
543,M112652576,Q5575709
544,M112652579,Q5575709
545,M112652582,Q5575709
546,M112667674,Q5547532
547,M112667689,Q5547532
548,M112696282,Q6075602
549,M112696303,Q6075602
550,M111505922,Q6255248
551,M112339718,Q18245117
552,M112339722,Q18245117
553,M112375728,Q16650199
554,M112375734,Q16650199
555,M112376746,Q109478878
556,M112380075,Q6053808
557,M112380077,Q6053808
558,M112381294,Q19803736
559,M112381300,Q19803736
560,M112404813,Q109502164
561,M112404826,Q109502164
562,M112408200,Q1354020
563,M112408202,Q1354020
564,M112428504,Q16595484
565,M112428515,Q16595484
566,M112428555,Q16595484
567,M112428557,Q16595484
568,M112428560,Q16595484
569,M112428566,Q16595484
570,M112428791,Q1348163
571,M112443181,Q64413141
572,M112445569,Q63826596
573,M112536765,Q5914280
574,M112536785,Q5914280
575,M112536803,Q5914280
576,M112536842,Q5914280
577,M112572741,Q87565739
578,M112588620,Q4933632
579,M112588646,Q4933632
580,M112590082,Q19976116
581,M112590111,Q19976116
582,M112590131,Q19976116
583,M112627276,Q9651480
584,M112627310,Q9651480
585,M112627318,Q9651480
586,M112627343,Q9651480
587,M112650835,Q4938904
588,M112650838,Q4938904
589,M112709178,Q6255248
590,M112709227,Q6255248
591,M112709417,Q6255248
592,M112709434,Q6255248
593,M112711819,Q6238086
594,M112711976,Q6238086
595,M112711982,Q6238086
596,M112711989,Q6238086
597,M112796818,Q109725840
598,M112796828,Q109725840
599,M112797180,Q109725840
600,M112338480,Q77154732
601,M112338490,Q77154732
602,M112407148,Q5812102
603,M112407156,Q5812102
604,M112407186,Q5812102
605,M112407215,Q5812102
606,M112407827,Q24018563
607,M112407830,Q24018563
608,M112407834,Q24018563
609,M112407838,Q24018563
610,M112407843,Q24018563
611,M112418346,Q109518432
612,M112418374,Q109518432
613,M112488363,Q106689430
614,M112488400,Q106689430
615,M112488410,Q106689430
616,M112488419,Q106689430
617,M112491137,Q109516290
618,M112491141,Q109516290
619,M112491509,Q6164914
620,M112509887,Q6170263
621,M112509955,Q5602525
622,M112510011,Q5602525
623,M112547870,Q109523665
624,M112547887,Q109523665
625,M112547902,Q109523665
626,M112627379,Q9651480
627,M112652501,Q5585998
