,all,WikidataID,spaid,Littauthorid,score,FirstNameWD,LastNameWD,BirthDayWD,FirstNameSPA,LastNameSPA,BirthDaySPA,searchStr,BirthYearSPA,BirthYearWD,wd,Littbank,WD,WD_template,SPA,WikicommonsUrl,name_Ascii,name_str,CommonsCat,UploadUrl
1170,Anders Berghult 1712,,4e1scVvZ-EAAAAAAAAAhYA,BerghultA,30.852636,Anders,,,Anders,von-Höpken-,,,1712,1712,Q100151901,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BerghultA'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q100151901'>Q100151901</a>,{{Q|Q100151901}},<a target=_blank href='https://portrattarkiv.se/details/4e1scVvZ-EAAAAAAAAAhYA'>link SPA</a>,,,,,
2658,Ida Lindgren 1829,,sj9PGLAlnmUAAAAAABhIXw,LindgrenI,30.840866,,,,Ida,Lindgren-Nibelius,,,1829,1829,Q115956193,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LindgrenI'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q115956193'>Q115956193</a>,{{Q|Q115956193}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABhIXw'>link SPA</a>,,,,,
1438,Karl Bertil Hasselberg 1897,,j6S8rJvx9lAAAAAAAAApww,HasselbergB,30.835499,,,,Bertil,Hasselberg,,,1897,1897,Q116921348,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/HasselbergB'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q116921348'>Q116921348</a>,{{Q|Q116921348}},<a target=_blank href='https://portrattarkiv.se/details/j6S8rJvx9lAAAAAAAAApww'>link SPA</a>,,,,,
448,Ludvig Alexander Rosencrantz Balchen 1830,,seuNpYu6DKAAAAAAAAABYA,BalchenLAR,30.821825,Ludvig,,,Jonas,Schander,,,1830,1830,Q52635024,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BalchenLAR'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q52635024'>Q52635024</a>,{{Q|Q52635024}},<a target=_blank href='https://portrattarkiv.se/details/seuNpYu6DKAAAAAAAAABYA'>link SPA</a>,,,,,
1123,Carl Johan Strand 1728,,sj9PGLAlnmUAAAAAAB2WoA,StrandCJ,30.785902,Carl,,,Carl,Strand,,,1728,1728,Q29342025,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/StrandCJ'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q29342025'>Q29342025</a>,{{Q|Q29342025}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAAB2WoA'>link SPA</a>,,,,,
1764,Richard Lundeblom 1872,,sj9PGLAlnmUAAAAAAA7o-g,LundeblomR,30.785656,Richard,,,Richard,Christoffersson,,,1872,1872,Q110763478,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LundeblomR'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q110763478'>Q110763478</a>,{{Q|Q110763478}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAAA7o-g'>link SPA</a>,,,,,
2428,Carl Johan Moqvist 1825,,sj9PGLAlnmUAAAAAAB2Vng,MoqvistCJ,30.771605,Carl,,,Carl,Moqvist,,,1825,1825,Q110212244,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/MoqvistCJ'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q110212244'>Q110212244</a>,{{Q|Q110212244}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAAB2Vng'>link SPA</a>,,,,,
275,Andreas Petrus Segersteen 1778,,sj9PGLAlnmUAAAAAABZstg,SegersteenAP,30.769766,Andreas,,,Anders,Segersteen,,,1778.0,1778,Q55874125,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/SegersteenAP'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q55874125'>Q55874125</a>,{{Q|Q55874125}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABZstg'>link SPA</a>,,,,,
121,Johan Henrik von Kochen 1681,,ciLMGSqrYjAAAAAAAABtHA,KochenJH,30.756973,Johan,,,Johan,Wolluhn,,,1681.0,1681,Q5916344,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/KochenJH'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5916344'>Q5916344</a>,{{Q|Q5916344}},<a target=_blank href='https://portrattarkiv.se/details/ciLMGSqrYjAAAAAAAABtHA'>link SPA</a>,,,,,
691,Johan Erik Lundgren 1822,,seuNpYu6DKAAAAAAAAABEg,LundgrenJE,30.728685,Johan Erik,Lundgren,,Carolina,Weidehaijn-Lundgren,,,1822,1822,Q16649797,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LundgrenJE'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q16649797'>Q16649797</a>,{{Q|Q16649797}},<a target=_blank href='https://portrattarkiv.se/details/seuNpYu6DKAAAAAAAAABEg'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Johan Erik_Lundgren_1822'>link Commons</a>,Johan Erik%20Lundgren%201822,Johan Erik Lundgren 1822,[[Category:Johan Erik%20Lundgren%201822]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Johan Erik%20Lundgren%201822%20{{Q|Q16649797}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Johan Erik%20Lundgren%201822%20{{Q|Q16649797}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/seuNpYu6DKAAAAAAAAABEg%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Johan Erik%20Lundgren%201822]]&wpLicense=cc-by-sa-4.0&wpDestFile=Johan Erik Lundgren 1822_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=seuNpYu6DKAAAAAAAAABEg'>link Upload</a>
