,WikidataID,authorid_x,SBL,SKBL,wikidata.wikipedia,wikidata.wikidata_id,wikidata.sbl_link,wikidata.skbl_link,wikidata.sol_link,authorid_y,WD_Littbank_SBL_merge_outer
543,Q16649695,LindegrenC,10504.0,,https://sv.wikipedia.org/wiki/Carl_Lindegren,Q16649695,10504.0,,,LindegrenC,both
544,Q1276321,LindegrenE,10505.0,,https://sv.wikipedia.org/wiki/Erik_Lindegren,Q1276321,10505.0,,Erik_Lindegren,LindegrenE,both
545,Q5955465,LinderN,10524.0,,https://sv.wikipedia.org/wiki/Nils_Linder,Q5955465,10524.0,,,LinderN,both
546,Q5955702,LindestolpeJ,10536.0,,https://sv.wikipedia.org/wiki/Johan_Lindestolpe,Q5955702,10536.0,,,LindestolpeJ,both
547,Q5955778,LindforsO,10543.0,,https://sv.wikipedia.org/wiki/Axel_Otto_Lindfors,Q5955778,10543.0,,,LindforsO,both
548,Q16649706,LindgrenH,10560.0,,https://sv.wikipedia.org/wiki/Hellen_Lindgren,Q16649706,10560.0,,,LindgrenH,both
549,Q5957285,LindormE,10627.0,,https://sv.wikipedia.org/wiki/Erik_Lindorm,Q5957285,10627.0,,,LindormE,both
550,Q5957493,LindqvistG,10637.0,,https://sv.wikipedia.org/wiki/Gustaf_Lindqvist,Q5957493,10637.0,,,LindqvistG,both
551,Q4962906,LindqvistM,10641.0,MartaLindqvist,https://sv.wikipedia.org/wiki/M%C3%A4rta_Lindqvist,Q4962906,10641.0,MartaLindqvist,Märta_Lindqvist,LindqvistM,both
552,Q6149708,LindrothHj,10650.0,,https://sv.wikipedia.org/wiki/Hjalmar_Lindroth_(spr%C3%A5kvetare),Q6149708,10650.0,,,LindrothHj,both
553,Q5957946,LindrothS,10655.0,,https://sv.wikipedia.org/wiki/Sten_Lindroth,Q5957946,10655.0,,,LindrothS,both
554,Q5958010,LindschöldE,10656.0,,https://sv.wikipedia.org/wiki/Erik_Lindsch%C3%B6ld,Q5958010,10656.0,,,LindschöldE,both
555,Q4125260,LindströmG,10695.0,,https://sv.wikipedia.org/wiki/Gustaf_Lindstr%C3%B6m,Q4125260,10695.0,,,LindströmG,both
556,Q708780,LingPH,10716.0,,https://sv.wikipedia.org/wiki/Pehr_Henrik_Ling,Q708780,10716.0,,,LingPH,both
557,Q5959480,LinnerhielmJC,10743.0,,https://sv.wikipedia.org/wiki/Jonas_Carl_Linnerhielm,Q5959480,10743.0,,,LinnerhielmJC,both
558,Q1043,LinnéCvon,10735.0,,https://sv.wikipedia.org/wiki/Carl_von_Linn%C3%A9,Q1043,10735.0,,,LinnéCvon,both
559,Q40387260,LissanderA,10759.0,,https://sv.wikipedia.org/wiki/Anders_Lissander,Q40387260,10759.0,,,LissanderA,both
560,Q11860801,LithouG,10765.0,,https://sv.wikipedia.org/wiki/Gustaf_Lithou,Q11860801,10765.0,,,LithouG,both
561,Q3304999,LivijnC,10774.0,,https://sv.wikipedia.org/wiki/Clas_Livijn,Q3304999,10774.0,,,LivijnC,both
562,Q5621000,LjunggrenG,9587.0,,https://sv.wikipedia.org/wiki/Gustaf_Ljunggren,Q5621000,9587.0,,,LjunggrenG,both
563,Q6150108,LjunggrenKG,9592.0,,https://sv.wikipedia.org/wiki/Karl_Gustav_Ljunggren,Q6150108,9592.0,,,LjunggrenKG,both
564,Q4949843,LjungstedtA,9625.0,AuroraLjungstedt,https://sv.wikipedia.org/wiki/Aurora_Ljungstedt,Q4949843,9625.0,AuroraLjungstedt,,LjungstedtA,both
565,Q5961497,LjungströmCJ,9629.0,,https://sv.wikipedia.org/wiki/Claes_Johan_Ljungstr%C3%B6m,Q5961497,9629.0,,,LjungströmCJ,both
566,Q16843523,LloydL,9634.0,,https://sv.wikipedia.org/wiki/Llewellyn_Lloyd,Q16843523,9634.0,,,LloydL,both
567,Q16649757,LoenbomS,9646.0,,https://sv.wikipedia.org/wiki/Samuel_Loenbom,Q16649757,9646.0,,,LoenbomS,both
568,Q5962508,LohmanCJ,9653.0,,https://sv.wikipedia.org/wiki/Carl_Johan_Lohman,Q5962508,9653.0,,,LohmanCJ,both
569,Q3439851,LowenhjelmG,10119.0,,https://sv.wikipedia.org/wiki/Gustaf_L%C3%B6wenhielm,Q3439851,10119.0,,,LowenhjelmG,both
570,Q246699,LucidorL,12158.0,,https://sv.wikipedia.org/wiki/Lasse_Lucidor,Q246699,12158.0,,,LucidorL,both
571,Q3483735,LundS,9741.0,,https://sv.wikipedia.org/wiki/Sigurd_Harald_Lund,Q3483735,9741.0,,,LundS,both
572,Q5966107,LundbladJ,9773.0,,https://sv.wikipedia.org/wiki/Johan_Lundblad,Q5966107,9773.0,,,LundbladJ,both
573,Q5966119,LundbladJF,9776.0,,https://sv.wikipedia.org/wiki/Johan_Fredrik_af_Lundblad,Q5966119,9776.0,,,LundbladJF,both
574,Q5966284,LundegårdA,9800.0,,https://sv.wikipedia.org/wiki/Axel_Lundeg%C3%A5rd,Q5966284,9800.0,,,LundegårdA,both
575,Q5967011,LundinC,9862.0,,https://sv.wikipedia.org/wiki/Cla%C3%ABs_Lundin,Q5967011,9862.0,,,LundinC,both
576,Q5967339,LundquistB,9874.0,,https://sv.wikipedia.org/wiki/Birger_Lundquist,Q5967339,9874.0,,,LundquistB,both
577,Q5967373,LundquistE,9876.0,,https://sv.wikipedia.org/wiki/Ernst_Lundquist,Q5967373,9876.0,,Ernst_Lundquist,LundquistE,both
578,Q5967672,LundstedtB,9891.0,,https://sv.wikipedia.org/wiki/Bernhard_Lundstedt,Q5967672,9891.0,,,LundstedtB,both
579,Q1610294,LundstromH,9905.0,,https://sv.wikipedia.org/wiki/Herman_Lundstr%C3%B6m,Q1610294,9905.0,,,LundstromH,both
580,Q16649812,LybeckerG,9952.0,,https://sv.wikipedia.org/wiki/Georg_Lybecker_(visdiktare),Q16649812,9952.0,,,LybeckerG,both
581,Q5968926,LysanderAT,9976.0,,https://sv.wikipedia.org/wiki/Albert_Lysander_(filolog),Q5968926,9976.0,,,LysanderAT,both
582,Q5969151,LäfflerF,11126.0,,https://sv.wikipedia.org/wiki/Frits_L%C3%A4ffler,Q5969151,11126.0,,,LäfflerF,both
583,Q4354436,LæstadiusP,10825.0,,https://sv.wikipedia.org/wiki/Petrus_L%C3%A6stadius,Q4354436,10825.0,,,LæstadiusP,both
584,Q5360742,LöfgrenE,10040.0,,https://sv.wikipedia.org/wiki/Eliel_L%C3%B6fgren,Q5360742,10040.0,,,LöfgrenE,both
585,Q4964675,LöwenhjelmH,10125.0,HarrietLowenhjelm,https://sv.wikipedia.org/wiki/Harriet_L%C3%B6wenhjelm,Q4964675,10125.0,HarrietLowenhjelm,,LöwenhjelmH,both
586,Q4992745,MacleanR,10134.0,,https://sv.wikipedia.org/wiki/Rutger_Macklean,Q4992745,10134.0,,,MacleanR,both
587,Q5971688,MagnellCJ,10141.0,,https://sv.wikipedia.org/wiki/Carl_Jacob_Magnell,Q5971688,10141.0,,,MagnellCJ,both
588,Q4965144,MallingM,10184.0,MathildaMalling,https://sv.wikipedia.org/wiki/Mathilda_Malling,Q4965144,10184.0,MathildaMalling,,MallingM,both
589,Q762949,MalmströmA,8994.0,,https://sv.wikipedia.org/wiki/August_Malmstr%C3%B6m,Q762949,8994.0,,,MalmströmA,both
590,Q5974210,MalmströmBE,8996.0,,https://sv.wikipedia.org/wiki/Bernhard_Elis_Malmstr%C3%B6m,Q5974210,8996.0,,,MalmströmBE,both
591,Q2518893,MalmströmCG,8997.0,,https://sv.wikipedia.org/wiki/Carl_Gustaf_Malmstr%C3%B6m,Q2518893,8997.0,,,MalmströmCG,both
592,Q56164101,MalmströmS,9004.0,,https://sv.wikipedia.org/wiki/Sten_Malmstr%C3%B6m,Q56164101,9004.0,,,MalmströmS,both
593,Q6152281,MarcksGW,9077.0,,https://sv.wikipedia.org/wiki/Gotthard_Wilhelm_Marcks_von_W%C3%BCrtenberg,Q6152281,9077.0,,,MarcksGW,both
594,Q314458,MarderfeltAA,9090.0,,https://sv.wikipedia.org/wiki/Arvid_Axel_Mardefelt,Q314458,9090.0,,,MarderfeltAA,both
